title, author
overlord the undead king, kugane maruyama
seraph of the end 1, takaya kagami
seraph of the end 2, takaya kagami
seraph of the end 3, takaya kagami
pandora hearts 1, shinobu wakamiya
pandora hearts 2, shinobu wakamiya
log horizon 1, mamare tourno
log horizon 2, mamare tourno
log horizon 3, mamare tourno
log horizon 4, mamare tourno
log horizon 5, mamare tourno
the devil is a part-timer 1, satoshi wagahara
the devil is a part-timer 2, satoshi wagahara
the devil is a part-timer 3, satoshi wagahara
the devil is a part-timer 4, satoshi wagahara
the devil is a part-timer 5, satoshi wagahara
is it wrong to try to pick up girls in a dungeon on the side 1, fujimo omori
is it wrong to try to pick up girls in a dungeon on the side 2, fujimo omori
is it wrong to try to pick up girls in a dungeon on the side 3, fujimo omori
is it wrong to try to pick up girls in a dungeon on the side 4, fujimo omori
is it wrong to try to pick up girls in a dungeon on the side 5, fujimo omori
is it wrong to try to pick up girls in a dungeon on the side 6, fujimo omori
is it wrong to try to pick up girls in a dungeon on the side 7, fujimo omori
is it wrong to try to pick up girls in a dungeon on the side 8, fujimo omori
is it wrong to try to pick up girls in a dungeon on the side 9, fujimo omori
the irregular at magic high school, tsutomo sato
no game no life 1, yuu kamiya
no game no life 2, yuu kamiya
no game no life 3, yuu kamiya
no game no life 4, yuu kamiya
kizumonogatari wound tale, nisioisin
rezero 1, tappei nagatsuki
rezero 2, tappei nagatsuki
rezero 3, tappei nagatsuki
